seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	1246502	1246606	105	*	X00038	116983	1227764	1244989	17226	-	1512	upstream	1512	ACAP3
chr1	1246637	1246726	90	*	X00039	116983	1227764	1244989	17226	-	1647	upstream	1647	ACAP3
chr1	6682940	6683074	135	*	X00096	90326	6684925	6695646	10722	+	1850	upstream	1850	THAP3
chr1	26879302	26879401	100	*	X00321	100302190	26881033	26881084	52	+	1631	upstream	1631	MIR1976
chr1	26879627	26879686	60	*	X00322	100302190	26881033	26881084	52	+	1346	upstream	1346	MIR1976
chr1	26880086	26880220	135	*	X00323	100302190	26881033	26881084	52	+	812	upstream	812	MIR1976
chr1	28907948	28908082	135	*	X00373	677825	28906893	28907024	132	-	923	upstream	923	SNORA44
chr1	28907948	28908082	135	*	X00373	677838	28906276	28906405	130	-	1542	upstream	1542	SNORA61
chr1	28907948	28908082	135	*	X00373	692073	28907432	28907565	134	-	382	upstream	382	SNORA16A
chr1	32672740	32672859	120	*	X00402	149069	32674695	32681797	7103	+	1835	upstream	1835	DCDC2B
chr1	70673330	70673419	90	*	X00657	55631	70610485	70671361	60877	-	1968	upstream	1968	LRRC40
chr1	153745664	153745783	120	*	X00807	11000	153747768	153752633	4866	+	1984	upstream	1984	SLC27A3
chr1	153920522	153920626	105	*	X00812	9909	153901977	153919154	17178	-	1367	upstream	1367	DENND4B
chr1	155289489	155289608	120	*	X00867	23623	155290640	155300909	10270	+	1031	upstream	1031	RUSC1
chr1	155881166	155881270	105	*	X00880	6016	155867599	155881193	13595	-	0	overlapStart	0	RIT1
chr1	156712648	156712842	195	*	X00932	79590	156707094	156710923	3830	-	1724	upstream	1724	MRPL24
chr1	180166138	180166287	150	*	X01016	200058	180167144	180169859	2716	+	856	upstream	856	NA
chr1	203699429	203699563	135	*	X01074	84719	203699705	203700979	1275	+	141	upstream	141	LINC00260
chr1	228284682	228284801	120	*	X01161	100500810	228284964	228285042	79	+	162	upstream	162	MIR3620
chr1	228284967	228285086	120	*	X01162	100500810	228284964	228285042	79	+	0	overlapEnd	2	MIR3620
chr1	228335585	228335616	32	*	X01165	57165	228337415	228347527	10113	+	1798	upstream	1798	GJC2
chr10	54075336	54075420	85	*	X01329	100506939	54056608	54073888	17281	-	1447	upstream	1447	PRKG1-AS1
chr10	102748346	102748465	120	*	X01523	84545	102737579	102747272	9694	-	1073	upstream	1073	MRPL43
chr10	102754883	102754996	114	*	X01524	84445	102756864	102767593	10730	+	1867	upstream	1867	LZTS2
chr10	103541889	103542068	180	*	X01536	2253	103529887	103540126	10240	-	1762	upstream	1762	FGF8
chr10	103542080	103542229	150	*	X01537	2253	103529887	103540126	10240	-	1953	upstream	1953	FGF8
chr10	120926562	120926581	20	*	X01656	119559	120900425	120925204	24780	-	1357	upstream	1357	SFXN4
chr11	5462673	5462687	15	*	X01789	390063	5461772	5462783	1012	-	0	inside	95	OR51I1
chr11	6504510	6504614	105	*	X01798	23647	6495913	6502709	6797	-	1800	upstream	1800	ARFIP2
chr11	9448377	9448439	63	*	X01808	677808	9450313	9450501	189	+	1873	upstream	1873	SNORA23
chr11	57093932	57094061	130	*	X01911	85456	57067103	57092413	25311	-	1518	upstream	1518	TNKS1BP1
chr11	59362538	59362612	75	*	X01920	100422880	59362550	59362631	82	-	0	overlapEnd	18	MIR3162
chr11	62360766	62360915	150	*	X01975	64852	62342517	62359109	16593	-	1656	upstream	1656	TUT1
chr11	62360919	62360988	70	*	X01976	64852	62342517	62359109	16593	-	1809	upstream	1809	TUT1
